column_name,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018,Q4 2017,Q3 2017,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,Q4 2010,Q3 2010,Q2 2010,Q1 2010,Q4 2009,Q3 2009,Q2 2009,Q1 2009,Q4 2008,Q3 2008,Q2 2008,Q1 2008,Q4 2007,company_id
PE Ratio (Quarter),1226.42,653.51,221.77,-490.26,1848.84,-25166.67,632.87,684.0,1754.55,110.32,135.4,244.44,250.0,-1171.72,-1907.89,307.54,3960.0,798.51,772.04,-8851.85,72.61,104.6,122.55,101.66,69.61,86.0,31.04,20.48,11.06,6.85,20.43,-8.99,-28.89,41.74,106.87,-250.0,-51.53,-322.58,-41.77,58.82,-16.07,-38.2,-49.0,-10.42,-20.88,-11.81,-34.83,-16.37,672.0,59.0,61.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BRPT
Price to Sales (Quarter),10.07,6.43,7.94,7.1,6.14,5.71,7.26,6.72,8.61,6.66,8.47,13.51,8.17,18.6,6.46,16.24,13.15,6.53,6.6,4.55,2.54,2.77,3.36,3.66,3.29,2.7,2.36,1.3,1.02,0.48,0.67,0.38,0.15,0.28,0.41,0.3,0.23,0.26,0.32,0.3,0.41,0.43,0.53,0.47,0.66,0.66,1.01,1.26,1.15,1.36,1.36,1.73,2.55,2.09,1.71,2.39,2.68,2.25,1.4,0.97,1.26,3.22,2.45,0.0,BRPT
EBITDA (Quarter),2104670000000.0,1897860000000.0,2215550000000.0,1838560000000.0,1758830000000.0,1277070000000.0,1822380000000.0,1870460000000.0,2161960000000.0,3619100000000.0,3621810000000.0,2745080000000.0,2754370000000.0,1454840000000.0,1402930000000.0,1348400000000.0,1779430000000.0,2256400000000.0,2151040000000.0,1931170000000.0,3192340000000.0,4187140000000.0005,1876730000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BRPT
Return on Assets (Quarter),0.0007000000000000001,0.0008,0.0025,-0.001,0.0003,-0.0,0.001,0.0009,0.0004,0.006500000000000001,0.0059,0.0039000000000000003,0.0027,-0.0009,-0.0003,0.0044,0.0002,0.0007000000000000001,0.0008,-0.0,0.0045000000000000005,0.0034999999999999996,0.0053,0.0063,0.0091,0.0063,0.0169,0.014499999999999999,0.0195,0.015700000000000002,0.005200000000000001,-0.0032,-0.0009,0.0013000000000000002,0.0006,-0.0003,-0.0013000000000000002,-0.0002,-0.0021,0.0017000000000000001,-0.009300000000000001,-0.0034000000000000002,-0.003,-0.013700000000000002,-0.008,-0.0146,-0.008199999999999999,-0.0174,0.0005,0.0072,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BRPT
Return on Equity (Quarter),0.004,0.0044,0.014499999999999999,-0.0059,0.0014000000000000002,-0.0001,0.0053,0.0047,0.002,0.0352,0.032400000000000005,0.0227,0.015300000000000001,-0.0051,-0.0018,0.0267,0.0013000000000000002,0.0043,0.0049,-0.0003,0.0252,0.02,0.0177,0.021400000000000002,0.028300000000000002,0.0197,0.0547,0.0443,0.058600000000000006,0.0487,0.0165,-0.0102,-0.003,0.0040999999999999995,0.002,-0.001,-0.0043,-0.0008,-0.0070999999999999995,0.005600000000000001,-0.0291,-0.0103,-0.0092,-0.040999999999999995,-0.0242,-0.0432,-0.0227,-0.0463,0.0015,0.020800000000000003,0.018000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BRPT
Return on Capital Employed (Quarter),0.0096,0.0098,0.0116,0.0087,0.0087,0.005200000000000001,0.0105,0.012700000000000001,0.0131,0.030600000000000002,0.0322,0.0216,0.021800000000000003,0.0103,0.0101,0.0106,0.0159,0.020800000000000003,0.021,0.016,0.034100000000000005,0.061200000000000004,0.0393,0.0368,0.0483,0.040999999999999995,0.0696,0.0643,0.0613,0.06730000000000001,0.0219,0.0027,0.0116,0.0235,-0.0025,0.0038,0.0079,0.0073,-0.0003,0.0115,-0.003,-0.0029,-0.0013000000000000002,-0.012,-0.0097,-0.018000000000000002,-0.0016,-0.0053,-0.0069,0.0063,0.0259,0.0232,-0.0097,0.0074,0.0229,-0.0038,0.032400000000000005,0.0336,0.014499999999999999,-0.0884,-0.0006,-0.0173,-0.022400000000000003,0.0,BRPT
Interest Coverage (Quarter),1.11,1.05,1.46,1.21,1.6,0.73,2.08,2.3,2.2,4.59,4.41,2.19,2.63,1.74,1.26,1.63,2.28,2.68,2.47,2.14,3.94,2.79,5.41,5.58,7.23,6.02,12.38,16.5,8.4,13.73,5.36,21.38,1.99,4.81,-0.5,0.88,1.52,1.04,-0.05,1.39,-0.73,-0.68,-0.29,-1.69,-1.04,-2.42,-0.18,-0.57,-0.99,0.49,2.94,2.14,-1.01,0.97,2.57,-1.08,6.07,7.71,2.87,-9.37,-0.12,-5.93,-3.73,0.0,BRPT
Share Outstanding,13860000000.0,13860000000.0,13860000000.0,13860000000.0,13860000000.0,13860000000.0,13860000000.0,13860000000.0,13860000000.0,13860000000.0,13860000000.0,10860000000.0,10860000000.0,10860000000.0,10860000000.0,1210000000.0,1210000000.0,1210000000.0,1210000000.0,1210000000.0,1210000000.0,1210000000.0,1210000000.0,1210000000.0,1210000000.0,1210000000.0,1210000000.0,1210000000.0,1210000000.0,1210000000.0,1210000000.0,960000000.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARTO
EPS (Quarter),0.71,1.66,1.26,-1.78,0.84,0.72,1.37,8.56,1.02,-0.62,-2.75,-7.72,-5.05,-2.35,-2.34,-85.29,-4.08,-6.74,-5.0,-10.87,-2.85,-2.48,-3.11,0.09,-3.18,-4.27,0.12,3.39,-20.32,-1.98,-8.72,-0.62,0.0,0.0,0.0,11.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARTO
PE Ratio (Quarter),2845.07,1915.66,1920.63,-2089.89,7857.14,12708.33,10693.43,1869.16,14803.92,-21975.81,-3536.36,-558.94,-564.36,-755.74,-315.38,-14.73,-107.35,-10.09,-12.4,-6.9,-22.81,-26.21,-25.08,755.56,-20.44,-25.76,0.0,19.17,-3.05,-32.83,-6.31,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARTO
Price to Sales (Quarter),61.88,88.62,68.84,123.98,241.04,353.85,584.97,746.65,1072.87,1591.52,3219.8,1637.76,1531.19,863.78,423.01,119.93,41.3,5.98,5.56,5.87,4.64,4.53,5.27,4.27,3.92,6.76,0.0,3.74,4.73,3.79,3.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARTO
EBITDA (Quarter),63830000000.0,70800000000.0,54070000000.0,0.0,41100000000.0,33330000000.0,45090000000.0,57960000000.0,28610000000.0,6500000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARTO
Return on Assets (Quarter),0.0005,0.0012,0.001,-0.0015,0.0007000000000000001,0.0007000000000000001,0.0015,0.0096,0.0013000000000000002,-0.0009,-0.0040999999999999995,-0.0385,-0.0317,-0.015,-0.0209,-0.0779,-0.0068000000000000005,-0.0117,-0.0089,-0.0197,-0.0047,-0.0039000000000000003,-0.005,0.0001,-0.0044,-0.0062,0.0002,0.0053,-0.0336,-0.0032,-0.013700000000000002,-0.0008,0.0,0.0,0.0,0.0013000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARTO
Return on Equity (Quarter),0.0012,0.0028000000000000004,0.0021,-0.003,0.0014000000000000002,0.0012,0.0023,0.0144,0.0017000000000000001,-0.0011,-0.0047,-0.068,-0.0451,-0.0201,-0.0388,-0.151,-0.051,-0.0802,-0.055,-0.1134,-0.0267,-0.0226,-0.027700000000000002,0.0008,-0.027700000000000002,-0.0362,0.0009,0.0278,-0.167,-0.013999999999999999,-0.060599999999999994,-0.005600000000000001,0.0,0.0,0.0,0.0108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARTO
Return on Capital Employed (Quarter),0.0009,0.0016,0.0009,-0.0022,0.0009,0.0009,0.0019,0.0036,0.0012,-0.0006,-0.0067,-0.042,-0.030699999999999998,-0.0175,-0.02,-0.06820000000000001,-0.011200000000000002,-0.012,-0.009000000000000001,-0.0118,-0.0046,-0.0038,-0.0047,-0.0039000000000000003,-0.0046,-0.0064,0.0003,0.0012,-0.0332,-0.0032,-0.0139,-0.0024,0.0,0.0,0.0002,0.0036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARTO
Interest Coverage (Quarter),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARTO
Share Outstanding,24110000000.0,24110000000.0,24110000000.0,24110000000.0,24110000000.0,24110000000.0,22900000000.0,22900000000.0,22900000000.0,22900000000.0,22900000000.0,21900000000.0,21900000000.0,21900000000.0,21900000000.0,21900000000.0,4380000000.0,4160000000.0,4160000000.0,4160000000.0,4160000000.0,3570000000.0,3570000000.0,3570000000.0,3570000000.0,3570000000.0,3570000000.0,3570000000.0,3570000000.0,3570000000.0,3570000000.0,3570000000.0,3570000000.0,3570000000.0,0.0,3570000000.0,0.0,0.0,0.0,3570000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MDKA
EPS (Quarter),15.35,-32.55,1.93,-5.93,-16.03,18.27,43.66,9.36,9.45,6.89,-3.17,-15.98,13.97,13.8,11.19,2.12,77.79,74.02,69.46,-7.89,77.78,34.71,96.67,93.7,76.37,-0.06,-6.49,-1.02,-4.18,-0.98,-4.19,7.15,-16.17,-11.13,0.0,-8.78,0.0,0.0,0.0,-3.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MDKA
PE Ratio (Quarter),187.62,-94.01,2170.98,-694.77,-245.79,218.39,103.76,415.6,266.67,426.71,-678.23,-152.07,115.6,98.91,90.71,504.72,80.05,63.77,48.78,-443.6,34.73,96.72,27.3,21.93,29.53,-36733.33,-369.65,-1884.31,-459.81,-1939.8,-451.31,270.91,-120.47,-172.69,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MDKA
Price to Sales (Quarter),6.73,16.07,31.49,24.66,21.32,29.03,58.71,52.43,32.6,52.16,72.6,1040.66,22.38,26.11,13.08,23.61,14.47,13.98,10.8,14.18,7.15,18.0,9.53,7.66,11.88,66.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MDKA
EBITDA (Quarter),0.0,496030000000.0,704360000000.0,535500000000.0,793260000000.0,1029130000000.0001,1759730000000.0,994170000000.0,1033060000000.0,862330000000.0,161890000000.0,101510000000.0,812700000000.0,660040000000.0,765570000000.0,506860000000.0,1051920000000.0001,922990000000.0,713800000000.0,466280000000.0,770420000000.0,446760000000.0,595350000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MDKA
Return on Assets (Quarter),0.0051,-0.011399999999999999,0.0008,-0.0024,-0.0070999999999999995,0.009000000000000001,0.0394,0.0117,0.0129,0.0091,-0.0043,-0.0271,0.0215,0.022400000000000003,0.0159,0.0034999999999999996,0.024900000000000002,0.0245,0.0235,-0.0028000000000000004,0.031200000000000002,0.012700000000000001,0.062000000000000006,0.0666,0.056799999999999996,-0.0,-0.0053,-0.0009,-0.004,-0.0012,-0.0061,0.010400000000000001,-0.0227,-0.0169,0.0,-0.0199,0.0,0.0,0.0,-0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MDKA
Return on Equity (Quarter),0.0257,-0.057300000000000004,0.0031,-0.0091,-0.025,0.028700000000000003,0.0873,0.0199,0.0204,0.015,-0.0072,-0.0471,0.037700000000000004,0.0405,0.029900000000000003,0.0068000000000000005,0.0501,0.0545,0.0542,-0.0064,0.0593,0.0353,0.11810000000000001,0.1304,0.1195,-0.0001,-0.0111,-0.0017000000000000001,-0.0079,-0.0018,-0.0070999999999999995,0.0116,-0.024900000000000002,-0.0184,0.0,-0.12630000000000002,0.0,0.0,0.0,-0.053099999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MDKA
Return on Capital Employed (Quarter),0.016399999999999998,0.0001,0.0054,0.0019,0.0125,0.024100000000000003,0.026600000000000002,0.038900000000000004,0.0378,0.0259,-0.011000000000000001,-0.017,0.0543,0.0402,0.045599999999999995,0.0131,0.065,0.06420000000000001,0.0527,0.0487,0.0906,0.0659,0.1381,0.14830000000000002,0.11130000000000001,0.0118,-0.0034999999999999996,-0.0024,-0.0046,-0.006600000000000001,-0.008100000000000001,-0.0069,-0.010900000000000002,-0.0281,0.0,-0.2141,0.0,0.0,0.0,-0.297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MDKA
Interest Coverage (Quarter),2.93,0.03,0.79,0.28,2.42,7.97,8.77,11.1,9.42,6.81,-4.53,-2.66,8.83,9.42,6.45,1.75,8.53,9.39,8.45,8.32,2.64,7.71,16.46,25.37,6.98,1.79,-1.18,-13.99,-1.55,-1.3,-8.46,-0.4,-0.66,-1.5,0.0,-4.49,-2.54,-5.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MDKA
Share Outstanding,103080000000.0,103080000000.0,103070000000.0,103070000000.0,103060000000.0,103060000000.0,103060000000.0,103060000000.0,103060000000.0,77300000000.0,10000000.0,10000000.0,0.0,0.0,0.0,10000000.0,0.0,0.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BUKA
EPS (Quarter),-3.75,5.98,-9.76,-15.91,-48.22,-57.8,141.18,-5.3,-3.5,-5.73,-39169.81,5482.23,0.0,0.0,0.0,-358473.52,0.0,0.0,0.0,-309574.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BUKA
PE Ratio (Quarter),-58.13,35.45,-25.41,-16.47,-5.64,-4.88,2.71,-81.13,-245.71,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BUKA
Price to Sales (Quarter),19.41,18.6,25.41,26.25,31.21,32.18,49.97,84.99,183.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BUKA
EBITDA (Quarter),0.0,490340000000.0,0.0,0.0,0.0,0.0,14448150000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BUKA
Return on Assets (Quarter),-0.014499999999999999,0.022799999999999997,-0.0379,-0.059800000000000006,-0.171,-0.1761,0.36450000000000005,-0.020499999999999997,-0.0144,-0.1095,-0.11750000000000001,0.0173,0.0,0.0,0.0,-1.3612,0.0,0.0,0.0,-0.7312000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BUKA
Return on Equity (Quarter),-0.015,0.0235,-0.0393,-0.061900000000000004,-0.18230000000000002,-0.185,0.38189999999999996,-0.0233,-0.0151,-0.1474,-0.1906,0.027999999999999997,0.0,0.0,0.0,-2.4198,0.0,0.0,0.0,-1.1447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BUKA
Return on Capital Employed (Quarter),-0.022799999999999997,0.0183,-0.045,-0.06570000000000001,-0.1697,-0.1648,0.46630000000000005,-0.0207,-0.032400000000000005,-0.1821,-0.1865,-0.5094,0.0,0.0,-0.6492,-4.646100000000001,0.0,0.0,0.0,-2.2971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BUKA
Interest Coverage (Quarter),-537.79,477.55,-569.05,-1172.94,-2930.81,-3593.13,6505.7,-37.44,-169.25,-602.64,-183.17,-93.86,-293.05,-490.98,-294.35,-7664.01,0.0,0.0,0.0,-7612.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BUKA
Share Outstanding,20070000000.0,20070000000.0,20070000000.0,20070000000.0,20070000000.0,20070000000.0,20070000000.0,4010000000.0,4010000000.0,4010000000.0,4010000000.0,4010000000.0,4010000000.0,4010000000.0,4010000000.0,4010000000.0,4010000000.0,4010000000.0,4010000000.0,4010000000.0,4010000000.0,4010000000.0,4010000000.0,4010000000.0,4000000000.0,4000000000.0,3990000000.0,3990000000.0,3990000000.0,3990000000.0,3950000000.0,3950000000.0,3940000000.0,3940000000.0,3910000000.0,3910000000.0,3900000000.0,3900000000.0,3880000000.0,3880000000.0,3880000000.0,3880000000.0,3850000000.0,3850000000.0,3850000000.0,3850000000.0,3820000000.0,3820000000.0,3820000000.0,3140000000.0,3790000000.0,3790000000.0,3780000000.0,3780000000.0,3780000000.0,3140000000.0,3130000000.0,3130000000.0,3130000000.0,3130000000.0,3130000000.0,3130000000.0,3120000000.0,3120000000.0,AKRA
EPS (Quarter),33.84,21.11,30.25,41.82,30.31,26.28,21.32,78.37,61.42,61.05,76.05,64.64,58.25,50.76,56.74,37.85,43.46,47.13,50.2,86.49,43.98,47.83,231.88,45.93,107.3,82.5,64.74,54.51,52.03,82.79,64.62,47.69,60.93,78.69,75.44,59.14,51.93,50.14,46.44,31.74,44.88,49.81,40.92,43.53,47.78,35.62,41.98,40.31,254.0,30.31,283.04,21.34,25.45,20.65,22.13,30.63,31.24,27.1,19.66,-12.49,33.54,34.18,31.52,76.02,AKRA
PE Ratio (Quarter),45.66,67.27,51.24,33.48,44.54,39.19,42.68,52.44,70.99,51.6,42.34,49.2,43.78,50.04,34.81,104.36,87.44,86.78,94.02,49.6,83.45,89.9,24.47,138.25,66.17,79.09,96.54,110.07,123.97,77.3,107.55,150.45,96.01,75.3,67.93,69.67,104.95,86.36,104.11,137.84,89.13,106.4,122.19,95.34,88.95,97.56,102.43,75.04,9.45,70.11,5.19,81.07,59.33,51.33,42.02,36.24,31.85,28.6,25.94,-54.84,35.63,33.5,41.24,17.23,AKRA
Price to Sales (Quarter),3.06,3.2,2.84,2.17,2.17,1.73,1.8,1.95,2.68,2.26,2.53,3.31,2.65,2.79,1.25,2.41,2.82,3.51,3.76,2.56,2.62,3.21,3.9,5.24,6.75,5.35,5.75,5.62,7.18,6.73,7.68,5.99,4.84,4.27,4.18,2.94,3.71,3.0,3.33,2.75,2.79,3.97,3.54,2.98,2.93,2.4,3.2,2.61,1.72,1.42,1.28,1.79,1.72,1.44,1.45,1.31,1.31,1.15,0.87,1.03,1.4,1.36,1.94,0.69,AKRA
EBITDA (Quarter),954820000000.0,662110000000.0,911960000000.0,1279690000000.0,839860000000.0,756410000000.0,646090000000.0,486060000000.0,422260000000.0,395120000000.0,556160000000.0,430800000000.0,376750000000.0,397640000000.0,428810000000.0,455680000000.0,311000000000.0,319440000000.0,336060000000.0,305890000000.0,276630000000.0,324570000000.0,320620000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AKRA
Return on Assets (Quarter),0.0236,0.0167,0.0255,0.0309,0.022799999999999997,0.019,0.0169,0.0134,0.0116,0.0121,0.0154,0.0139,0.012700000000000001,0.011000000000000001,0.0106,0.0070999999999999995,0.009000000000000001,0.0099,0.010700000000000001,0.0174,0.0086,0.01,0.049100000000000005,0.010900000000000002,0.025400000000000002,0.02,0.015600000000000001,0.013700000000000002,0.013300000000000001,0.0215,0.0175,0.0124,0.0151,0.02,0.0202,0.015600000000000001,0.0129,0.013200000000000002,0.013200000000000002,0.0084,0.0124,0.016,0.013700000000000002,0.014199999999999999,0.0188,0.0143,0.0176,0.018500000000000003,0.11970000000000001,0.0117,0.13640000000000002,0.0106,0.0134,0.0115,0.013300000000000001,0.0159,0.0174,0.0161,0.011899999999999999,-0.008,0.020499999999999997,0.0223,0.023799999999999998,0.0678,AKRA
Return on Equity (Quarter),0.0635,0.0386,0.0526,0.0765,0.0601,0.05280000000000001,0.0438,0.0337,0.0273,0.027200000000000002,0.0337,0.029700000000000004,0.0275,0.024100000000000003,0.0267,0.0182,0.0213,0.0229,0.0235,0.0415,0.0219,0.023,0.1093,0.024300000000000002,0.0588,0.0454,0.0365,0.0319,0.0316,0.0495,0.0405,0.0309,0.0402,0.051500000000000004,0.0517,0.0429,0.039700000000000006,0.0386,0.0376,0.0258,0.0363,0.043899999999999995,0.0375,0.0415,0.045899999999999996,0.0361,0.0451,0.045599999999999995,0.3049,0.0255,0.3009,0.0339,0.0405,0.034,0.0362,0.0552,0.0584,0.0517,0.0355,-0.024300000000000002,0.0654,0.0721,0.0688,0.1857,AKRA
